Rank,Marks,max marks,no of candidates,normalized marks,rank ratio,log rank ratio
6901,198,366,159540,0.5409836066,0.04325560988,-1.36395756
7001,197,366,159540,0.5382513661,0.04388241193,-1.35770951
7101,197,366,159540,0.5382513661,0.04450921399,-1.351550075
7201,196,366,159540,0.5355191257,0.04513601605,-1.345476777
7501,194,366,159540,0.5300546448,0.04701642221,-1.327750422
7601,194,366,159540,0.5300546448,0.04764322427,-1.321998855
7701,193,366,159540,0.5273224044,0.04827002633,-1.316322464
7801,193,366,159540,0.5273224044,0.04889682838,-1.31071931
8001,191,366,159540,0.5218579235,0.05015043249,-1.299725317
8101,191,366,159540,0.5218579235,0.05077723455,-1.294330956
8201,190,366,159540,0.5191256831,0.05140403661,-1.289002776
8301,190,366,159540,0.5191256831,0.05203083866,-1.283739174
8401,189,366,159540,0.5163934426,0.05265764072,-1.278538603
8501,189,366,159540,0.5163934426,0.05328444277,-1.273399572
8601,188,366,159540,0.5136612022,0.05391124483,-1.26832064
8701,188,366,159540,0.5136612022,0.05453804688,-1.263300419
8801,187,366,159540,0.5109289617,0.05516484894,-1.258337567
8901,187,366,159540,0.5109289617,0.055791651,-1.253430787
9001,186,366,159540,0.5081967213,0.05641845305,-1.248578826
9101,186,366,159540,0.5081967213,0.05704525511,-1.243780473
9201,185,366,159540,0.5054644809,0.05767205716,-1.239034557
9401,184,366,159540,0.5027322404,0.05892566128,-1.229695535
9501,184,366,159540,0.5027322404,0.05955246333,-1.22510027
9601,184,366,159540,0.5027322404,0.06017926539,-1.220553118
9701,183,366,159540,0.5,0.06080606744,-1.216053083
9801,183,366,159540,0.5,0.0614328695,-1.211599199
9901,182,366,159540,0.4972677596,0.06205967156,-1.207190527
10001,182,366,159540,0.4972677596,0.06268647361,-1.20282616
10101,181,366,159540,0.4945355191,0.06331327567,-1.198505217
10201,181,366,159540,0.4945355191,0.06394007772,-1.19422684
10301,181,366,159540,0.4945355191,0.06456687978,-1.189990201
10401,180,366,159540,0.4918032787,0.06519368184,-1.185794491
10501,180,366,159540,0.4918032787,0.06582048389,-1.181638929
10601,179,366,159540,0.4890710383,0.06644728595,-1.177522753
10701,179,366,159540,0.4890710383,0.067074088,-1.173445224
10801,178,366,159540,0.4863387978,0.06770089006,-1.169405622
10901,178,366,159540,0.4863387978,0.06832769211,-1.165403248
11001,177,366,159540,0.4836065574,0.06895449417,-1.161437423
11201,177,366,159540,0.4836065574,0.07020809828,-1.15361279
11301,176,366,159540,0.4808743169,0.07083490034,-1.149752713
11501,175,366,159540,0.4781420765,0.07208850445,-1.142133984
11801,174,366,159540,0.4754098361,0.07396891062,-1.130950777
11901,174,366,159540,0.4754098361,0.07459571267,-1.127286133
12001,174,366,159540,0.4754098361,0.07522251473,-1.123652152
12101,173,366,159540,0.4726775956,0.07584931679,-1.120048327
12201,173,366,159540,0.4726775956,0.07647611884,-1.116474161
12301,172,366,159540,0.4699453552,0.0771029209,-1.112929169
12501,172,366,159540,0.4699453552,0.07835652501,-1.105924833
12601,171,366,159540,0.4672131148,0.07898332707,-1.102464576
12701,171,366,159540,0.4672131148,0.07961012912,-1.099031672
12801,171,366,159540,0.4672131148,0.08023693118,-1.09562569
12901,170,366,159540,0.4644808743,0.08086373323,-1.092246212
13001,170,366,159540,0.4644808743,0.08149053529,-1.088892829
13101,170,366,159540,0.4644808743,0.08211733734,-1.085565141
13201,169,366,159540,0.4617486339,0.0827441394,-1.082262757
13301,169,366,159540,0.4617486339,0.08337094146,-1.078985294
13401,169,366,159540,0.4617486339,0.08399774351,-1.075732381
13401,169,366,159540,0.4617486339,0.08399774351,-1.075732381
13501,168,366,159540,0.4590163934,0.08462454557,-1.07250365
13601,168,366,159540,0.4590163934,0.08525134762,-1.069298747
13701,167,366,159540,0.456284153,0.08587814968,-1.066117321
13801,167,366,159540,0.456284153,0.08650495174,-1.062959032
13901,167,366,159540,0.456284153,0.08713175379,-1.059823544
14001,166,366,159540,0.4535519126,0.08775855585,-1.056710532
14101,166,366,159540,0.4535519126,0.0883853579,-1.053619675
14201,166,366,159540,0.4535519126,0.08901215996,-1.05055066
14301,165,366,159540,0.4508196721,0.08963896202,-1.047503181
14501,165,366,159540,0.4508196721,0.09089256613,-1.041471635
14601,164,366,159540,0.4480874317,0.09151936818,-1.038486987
14701,164,366,159540,0.4480874317,0.09214617024,-1.03552271
14801,164,366,159540,0.4480874317,0.0927729723,-1.032578529
14901,163,366,159540,0.4453551913,0.09339977435,-1.029654173
15001,163,366,159540,0.4453551913,0.09402657641,-1.026749377
15201,163,366,159540,0.4453551913,0.09528018052,-1.020997429
15301,162,366,159540,0.4426229508,0.09590698257,-1.018149773
