Rank,Marks,max marks,no of candidates,normalized marks,rank ratio,log rank ratio
20101,149,366,159540,0.4071038251,0.1259934813,-0.8996519241
20201,149,366,159540,0.4071038251,0.1266202833,-0.8974967191
20301,148,366,159540,0.4043715847,0.1272470854,-0.8953521565
20301,148,366,159540,0.4043715847,0.1272470854,-0.8953521565
20301,148,366,159540,0.4043715847,0.1272470854,-0.8953521565
20401,148,366,159540,0.4043715847,0.1278738874,-0.8932181319
20501,148,366,159540,0.4043715847,0.1285006895,-0.8910945421
20601,148,366,159540,0.4043715847,0.1291274915,-0.8889812856
20701,147,366,159540,0.4016393443,0.1297542936,-0.8868782624
20801,147,366,159540,0.4016393443,0.1303810956,-0.8847853737
20901,147,366,159540,0.4016393443,0.1310078977,-0.8827025225
21101,147,366,159540,0.4016393443,0.1322615018,-0.8785665502
21201,146,366,159540,0.3989071038,0.1328883039,-0.8765132417
21501,146,366,159540,0.3989071038,0.13476871,-0.8704109285
21601,145,366,159540,0.3961748634,0.1353955121,-0.8683957308
21801,145,366,159540,0.3961748634,0.1366491162,-0.8643931728
21801,145,366,159540,0.3961748634,0.1366491162,-0.8643931728
21901,145,366,159540,0.3961748634,0.1372759183,-0.8624056425
22001,144,366,159540,0.393442623,0.1379027203,-0.8604271667
22101,144,366,159540,0.393442623,0.1385295224,-0.8584576631
22101,144,366,159540,0.393442623,0.1385295224,-0.8584576631
22301,144,366,159540,0.393442623,0.1397831265,-0.85454525
22301,144,366,159540,0.393442623,0.1397831265,-0.85454525
22401,144,366,159540,0.393442623,0.1404099285,-0.8526021817
22401,144,366,159540,0.393442623,0.1404099285,-0.8526021817
22501,143,366,159540,0.3907103825,0.1410367306,-0.8506677681
22901,142,366,159540,0.3879781421,0.1435439388,-0.843015141
23101,142,366,159540,0.3879781421,0.1447975429,-0.8392388076
23101,142,366,159540,0.3879781421,0.1447975429,-0.8392388076
23201,142,366,159540,0.3879781421,0.145424345,-0.8373628836
23301,142,366,159540,0.3879781421,0.146051147,-0.8354950278
